state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-27,7161,8214,7970,39,809
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-28,7339,8519,7929,39,590
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-28,6100,7745,6922,39,822
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-29,6939,7935,7437,39,498
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-29,7200,8585,7893,39,693
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-30,7199,8490,7845,39,646
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-30,7014,8064,7539,39,525
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-04,7269,8039,7654,39,385
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-04,7299,8619,7959,39,660
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-06,7299,8699,7999,39,700
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-06,7004,8017,7510,39,506
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-07,6399,7987,7193,39,794
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-07,7317,8459,7888,39,571
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-08,7019,8099,7559,39,540
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-08,6398,7781,7089,39,691
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-11,6600,7899,7249,39,649
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-11,6416,7649,7032,39,616
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-12,7117,8191,7654,39,537
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-12,6689,7619,7154,39,465
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-13,6256,7681,7437,39,1181
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-13,6893,7734,7449,39,556
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-14,7195,8085,7640,39,445
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-14,6199,7441,6820,39,621
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-15,6219,7744,6981,39,762
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-15,7199,8119,7659,39,460
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-18,6559,7909,7234,39,675
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-18,7199,8409,7804,39,605
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-19,6299,7493,6896,39,597
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-19,7199,8555,7877,39,678
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-20,6699,7545,7122,39,423
